,accuracy kdn,accuracy nn,reps,sample
0,0.49,0.503,0,1000
1,0.505,0.508,1,1000
2,0.489,0.533,2,1000
3,0.51,0.523,3,1000
4,0.494,0.514,4,1000
5,0.505,0.487,5,1000
6,0.512,0.497,6,1000
7,0.477,0.509,7,1000
8,0.467,0.511,8,1000
9,0.498,0.518,9,1000
10,0.52,0.869,0,5000
11,0.514,0.875,1,5000
12,0.521,0.872,2,5000
13,0.48,0.744,3,5000
14,0.483,0.9,4,5000
15,0.556,0.871,5,5000
16,0.523,0.858,6,5000
17,0.535,0.867,7,5000
18,0.522,0.867,8,5000
19,0.556,0.834,9,5000
20,0.502,0.911,0,10000
21,0.53,0.892,1,10000
22,0.561,0.916,2,10000
23,0.632,0.761,3,10000
24,0.583,0.918,4,10000
25,0.585,0.873,5,10000
26,0.584,0.85,6,10000
27,0.62,0.914,7,10000
28,0.525,0.922,8,10000
29,0.505,0.902,9,10000
